created_at|id|lang|text
2021-10-30T11:50:55.000Z|1454415517062778881|en|@LezoES @LorenzoCaballer So what are they laughing about ...mmm?
2021-10-30T11:50:54.000Z|1454415514218893316|en|RT @ManthiHasara: @ShamitaShetty Congratulations queen #ShamitaShetty for 3M fanmily on Instagram. You deserve more and more 🤗🎉😍♥️ #ShaRa h…
2021-10-30T11:50:54.000Z|1454415513535221762|en|"RT @WindMe10: @queens_mmm Right the parents... Left my Chocos 🤣😍

#WorldisOne2021솔라
SOLAR x SIEDAHGARRETT
#SolarManintheMirror https://t.co…"
2021-10-30T11:50:54.000Z|1454415510209273859|en|"RT @xumagazine: UK #Fintech Crezco has raised £3M to make #B2B payments as easy as #B2C payments! 👏

Find out more about the funding round…"
2021-10-30T11:50:53.000Z|1454415507000487945|en|"@TRSRRoyalty @treasuremembers STREAMING BOY PROOF #37

ENGAGE ARTICLES FOR TREASURE
#트레저 #TREASURE
#MYTREASURE #MMM
@treasuremembers https://t.co/36Ynp488wW"
2021-10-30T11:50:50.000Z|1454415495457751042|en|"RT @lolswift1313: Taylor's Spotify Streams 

7/20/20 - 10.2m (#6) 
7/21/20 - 10.3m (#5) 
7/22/20 - 10.3m (#5)
7/23/20 - 14.5m (#1) 
7/24/20…"
2021-10-30T11:50:48.000Z|1454415488335761411|en|"RT @yongsununiverse: 📣[START TRENDING NOW]

#SOLAR's appearance &amp; special stage on WORLD IS ONE 2021 GLOBAL CONCERT

Use phrase &amp; #️⃣s:
SOL…"
2021-10-30T11:50:48.000Z|1454415487702421511|en|"STREAMING BOY PROOF #37

ENGAGE ARTICLES FOR TREASURE
#트레저 #TREASURE
#MYTREASURE #MMM
@treasuremembers https://t.co/UcbtjTaPGM"
2021-10-30T11:50:46.000Z|1454415479607488516|en|"RT @lolswift1313: Taylor's Spotify Streams 

7/20/20 - 10.2m (#6) 
7/21/20 - 10.3m (#5) 
7/22/20 - 10.3m (#5)
7/23/20 - 14.5m (#1) 
7/24/20…"
2021-10-30T11:50:44.000Z|1454415469134237697|en|"RT @blinkindia_off: .@BLACKPINK M/V's close to a Goal 🎯

🔸Boombayah to 1.3B (-1.2M)
https://t.co/Y5Un4ktCFb

🔸Stay to 300M (-5.3M)
https://…"
2021-10-30T11:50:43.000Z|1454415466273796100|en|RT @CHARTS_LISA: #LISA has officialy broke the record of the FASTEST KPOP ACT to reach 3M likes for an IG post in just 1 hour and 20 minute…
2021-10-30T11:50:43.000Z|1454415464877023238|en|"RT @WindMe10: @queens_mmm Thank you so much ❤️
Another 3 

#WorldisOne2021솔라
SOLAR x SIEDAHGARRETT
#SolarManintheMirror https://t.co/PUlXF7…"
