lang,created_at,text,id
en,2021-12-11T19:58:46.000Z,"RT @Heenashah19Shah: #WKW:#PraNish Don't B LOW by BIASED ACCUSATIONS!!

#PratikSehajpal BLAMED,Nishu Pointd ABT Frndshp while Umar,Teja-KK…",1469758577330262017
en,2021-12-11T19:58:46.000Z,thinking abt when my boss said i should walk down the street to the courthouse if there's a tornado even tho i'm literally in a building with limestone jail cells,1469758577254436872
en,2021-12-11T19:58:45.000Z,RT @ihythreat: btches claim they unbothered then make 50 tweets abt the situation sounding real bothered,1469758572426838032
en,2021-12-11T19:58:44.000Z,RT @proanatan: lets talk abt k00k smelling the donuts but not eating them... https://t.co/EA4csT3mm0,1469758571172831235
en,2021-12-11T19:58:40.000Z,literally abt to have a oanic attack bc i cant find my airpods im abt to cry,1469758554768916487
en,2021-12-11T19:58:40.000Z,"as i talk to more people personally abt my shit, i find i am asking ""what would you do in my position?""

the fact that nobody else knows what to do either feels comforting. at least makes me feel more charitable toward myself for feeling so rocked, bewildered, and tried by this.",1469758553963515907
en,2021-12-11T19:58:40.000Z,"RT @rachitmehra_2: Hate hate HATE Devoleena to the core

This is how she is speaking abt her BFF #RashamiDesai! Utter shame on u Devo! Path…",1469758552512376835
en,2021-12-11T19:58:40.000Z,RT @txt_tubatu: Taehyun liked posts on weverse abt mama cutting soobin's speech 👀👀 waiting for the diss track on ur mixtape next yr taehyun,1469758551891578890
en,2021-12-11T19:58:39.000Z,Abt to turn into the joker https://t.co/E3PhgDZgCP,1469758550251560965
en,2021-12-11T19:58:38.000Z,RT @pcs_media: Audi RS6+ ABT 🖤✨ https://t.co/1nscDjW4gi,1469758543012188161
en,2021-12-11T19:58:38.000Z,"RT @disbitchagain: u sit down to watch an entire show that the group you're stanning is in, and YET after the whole thing, u come running h…",1469758542802731009
en,2021-12-11T19:58:36.000Z,Keep thinking abt the shit that’s deep in the recesses of my 2018 sketchbook https://t.co/u7RVdceCVV,1469758536041340934
en,2021-12-11T19:58:35.000Z,right so no one said shit abt mino dropping a song w bobby ? 🤨,1469758533180739595
en,2021-12-11T19:58:34.000Z,RT @CATGIRLSHIT: ranboo’s abt to be like “anyone else relate to the joker”,1469758529166876678
en,2021-12-11T19:58:34.000Z,@vinyljihoon @himejiyu right like every fucking award season i see So Many tweets abt how the industry is pulling together scraps after bts when that just isnt true and also pretty fucking rude but we are the bad guys for complaining abt it lmaooo,1469758527728230404
en,2021-12-11T19:58:32.000Z,RT @_zyairam: one thing my kid ain’t ever gotta worry abt is me not showing up. I’m stepping hard behind mine,1469758520564363264
en,2021-12-11T19:58:31.000Z,@JlMlNSYOONGI what wrong bff ? so u wanna talk abt it ? :(,1469758516068032518
en,2021-12-11T19:58:31.000Z,when i say “i miss my ex” i be talking abt a diff one in each tweet,1469758514038034434
en,2021-12-11T19:58:29.000Z,wait why are ppl arguing abt rugby vs. football? i haven’t been active enough 😟,1469758508413321219
en,2021-12-11T19:58:29.000Z,"#QUACKITY: literally can have kids if they wanted to (talking abt snf)

HELP HES SO DONE THIRDWHEELING",1469758507893157890
en,2021-12-11T19:58:28.000Z,RT @luvfortomdaya: man really don’t give a fvck abt the interview he just wanna look at zendaya’s picture https://t.co/wsGwAdZfVv,1469758501400551425
en,2021-12-11T19:58:25.000Z,"RT @userbfIy: kpop stans ignore streaming and buying all year, literally what gets you awards, then talk abt rigged when their faves don’t…",1469758488834306053
en,2021-12-11T19:58:22.000Z,RT @queercb97: almost nobody having intricate staging or props and skz is abt to pop in here w a fucking TANK 😭,1469758476499173376
en,2021-12-11T19:58:21.000Z,Trying to look up solutions to email anxiety but none of these articles talk abt the anxiety where youre anxious abt sending a Super Late email to someone 😭,1469758471759450115
en,2021-12-11T19:58:18.000Z,my top 5 nomu cuz I actually think abt this https://t.co/wtilaBjcXJ,1469758462187954181
en,2021-12-11T19:58:17.000Z,"RT @lotuslate: i honestly never cared abt wwx being arrogant,, like so what? he had every right to,, he was super smart and resourceful and…",1469758458002128900
en,2021-12-11T19:58:17.000Z,RT @owainluvr: this is me abt emet-selch https://t.co/4jyAVRfFRN,1469758455019974663
en,2021-12-11T19:58:17.000Z,i forgot abt mcc for a sec,1469758454801879040
en,2021-12-11T19:58:16.000Z,@CopiahDawg @theColBane I would. bragging abt liberty bowls after ur tm was a speed bump on our way to a 10 win szn &amp; ny6 bid is a bad look.,1469758451312218115
en,2021-12-11T19:58:15.000Z,RT @GalShining: I wanted kk to know abt this bt not in d way salman said.. N honestly I don't believe in these promos bt still I felttt soo…,1469758447587635200
en,2021-12-11T19:58:14.000Z,"RT @SydneySithole17: @ramalokot @Kgabo48649279 is it me or you've become very bombastic with big words now: NIL, public mandates, et ... I…",1469758445209497601
en,2021-12-11T19:58:14.000Z,RT @GalShining: I wanted kk to know abt this bt not in d way salman said.. N honestly I don't believe in these promos bt still I felttt soo…,1469758444861202432
en,2021-12-11T19:58:14.000Z,RT @txt_tubatu: Taehyun liked posts on weverse abt mama cutting soobin's speech 👀👀 waiting for the diss track on ur mixtape next yr taehyun,1469758444328603649
